Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d
22,Polkadot,DOT,"$5,785,792,681 ",$3.69 ,"1,567,278,251 DOT *","$150,015,807 ",0.80%,-0.94%,-5.13%
23,Dai,DAI,"$5,365,411,074 ",$1.00 ,"5,365,382,703 DAI *","$994,534,131 ",0.00%,-0.02%,<0.01%
24,Hyperliquid,HYPE,"$5,153,288,891 ",$15.43 ,"333,928,180 HYPE *","$121,597,758 ",-0.98%,-3.49%,37.49%
25,Pi,PI,"$5,151,980,458 ",$0.75 ,"6,860,313,630 PI *","$427,271,665 ",0.25%,-2.55%,19.63%
26,Bitget Token,BGB,"$5,145,293,722 ",$4.28 ,"1,200,000,000 BGB *","$67,738,409 ",0.89%,-3.33%,-1.83%
27,Ethena USDe,USDe,"$4,992,664,303 ",$1.00 ,"4,998,359,716 USDe *","$78,052,208 ",0.00%,0.00%,-0.01%
28,Monero,XMR,"$3,819,694,075 ",$207.06 ,"18,446,744 XMR","$58,042,001 ",0.00%,-0.75%,-2.06%
29,Uniswap,UNI,"$3,360,872,734 ",$5.34 ,"628,494,055 UNI *","$107,199,922 ",0.34%,-3.36%,-4.87%
30,OKB,OKB,"$3,215,798,016 ",$53.59 ,"60,000,000 OKB *","$9,771,096 ",-0.13%,-0.17%,-1.42%
31,Aptos,APT,"$3,051,755,688 ",$4.94 ,"617,113,971 APT *","$119,438,790 ",0.21%,-0.07%,5.70%
32,Pepe,PEPE,"$3,021,662,218 ",$0.06 ,"420,689,899,653,544 PEPE *","$535,954,393 ",0.36%,-0.47%,4.62%
33,Ondo,ONDO,"$2,765,930,878 ",$0.88 ,"3,159,107,529 ONDO *","$154,129,286 ",0.59%,-4.50%,11.45%
34,GateToken,GT,"$2,765,803,272 ",$22.50 ,"122,910,588 GT *","$9,138,481 ",1.08%,-1.20%,2.41%
35,NEAR Protocol,NEAR,"$2,588,633,949 ",$2.14 ,"1,205,568,726 NEAR *","$121,789,342 ",0.40%,-2.45%,-8.19%
36,Internet Computer,ICP,"$2,460,652,541 ",$5.06 ,"485,455,843 ICP *","$46,098,041 ",0.29%,-2.99%,2.87%
37,Mantle,MNT,"$2,356,341,928 ",$0.70 ,"3,364,694,383 MNT *","$297,457,174 ",0.21%,-2.26%,-4.32%
38,Cronos,CRO,"$2,306,032,443 ",$0.09 ,"26,571,560,696 CRO *","$23,694,269 ",-0.32%,-4.38%,-2.54%
39,Ethereum Classic,ETC,"$2,303,738,636 ",$15.20 ,"151,506,468 ETC","$83,195,827 ",0.84%,-2.58%,-2.23%
40,Aave,AAVE,"$2,128,617,685 ",$140.96 ,"15,099,809 AAVE *","$194,528,747 ",0.23%,-4.49%,-2.11%
41,Bittensor,TAO,"$2,110,628,801 ",$246.16 ,"8,574,011 TAO *","$65,582,109 ",0.52%,-5.22%,18.26%
42,Render,RENDER,"$1,998,739,508 ",$3.86 ,"517,716,590 RENDER *","$88,537,037 ",0.35%,-2.52%,28.48%
43,VeChain,VET,"$1,969,870,397 ",$0.02 ,"85,985,041,177 VET *","$56,860,395 ",0.43%,-1.19%,7.96%
44,Kaspa,KAS,"$1,942,025,362 ",$0.07 ,"26,014,948,573 KAS","$90,838,239 ",0.77%,-0.83%,23.48%
45,POL (prev. MATIC),POL,"$1,940,174,120 ",$0.19 ,"10,398,846,835 POL *","$82,626,018 ",-0.22%,-2.25%,1.66%
46,Ethena,ENA,"$1,770,884,018 ",$0.32 ,"5,553,125,000 ENA *","$153,063,602 ",0.61%,-2.05%,8.08%
47,First Digital USD,FDUSD,"$1,743,761,338 ",$1.00 ,"1,747,264,934 FDUSD *","$1,897,638,186 ",<0.01%,<0.01%,0.21%
48,OFFICIAL TRUMP,TRUMP,"$1,701,141,156 ",$8.50 ,"199,999,422 TRUMP *","$391,865,421 ",0.40%,-0.34%,-3.23%
49,Cosmos,ATOM,"$1,637,552,447 ",$4.18 ,"390,934,204 ATOM *","$98,779,793 ",-0.02%,-2.95%,-11.20%
50,Filecoin,FIL,"$1,616,385,492 ",$2.48 ,"649,874,626 FIL","$87,825,576 ",0.56%,-1.89%,-3.69%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
