Name,Code,Network(s)
"Ethereum (""Ether"")",ETH,"Ethereum (ERC-20), Arbitrum One network, Arbitrum Nova network, Base, Ink, Linea network, Polygon network, OP Mainnet, zkSync Era network"
Ethereum Classic,ETC,Ethereum Classic
Ethereum Name Service,ENS,Ethereum (ERC-20)
Euler ,EUL,Ethereum (ERC-20)
EURQ ,EURQ,Ethereum (ERC-20)
Fantom,FTM,Fantom
Fartcoin,FARTCOIN,Solana
Fetch.ai,FET,Fetch.ai
Filecoin,FIL,Filecoin
Flare,FLR,Flare network
Floki,FLOKI,Ethereum (ERC-20)
Flow,FLOW,Flow
Flux,FLUX,Ethereum (ERC-20)
Frax Share,FXS,Ethereum (ERC-20)
Fwog,FWOG,Solana
Gala Games,GALA,Ethereum (ERC-20)
Galxe,GAL,Ethereum (ERC-20)
Gari Network,GARI,Solana
Genshiro***,GENS,Genshiro parachain network (Kusama)
GensoKishi Metaverse,MV,Ethereum (ERC-20)
Ghiblification,GHIBLI,Solana
Gigachad,GIGA,Solana
Gitcoin,GTC,Ethereum (ERC-20)
Global Dollar*,USDG,Ethereum (ERC-20)
GMX ,GMX,Arbitrum One network
Gnosis,GNO,Ethereum (ERC-20)
Goatseus Maximus,GOAT,Solana
Goldfinch,GFI,Ethereum (ERC-20)
Gravity,G,Ethereum (ERC-20)
Grass,GRASS,Solana
Green Satoshi Token,GST,Solana
Griffain,GRIFFAIN,Solana
Gunz,GUN,Avalanche C-Chain
Hamster Kombat,HMSTR,The Open Network
HarryPotterObamaSonic10Inu,HPOS10I,Ethereum (ERC-20)
Harvest Finance,Farm,Ethereum (ERC-20)
Hashflow,HFT,Ethereum (ERC-20)
Helium ,HNT,Solana network
Helium ,HNT,Solana network
Hey Anon,ANON,Solana
Hivemapper ,HONEY,Solana network
HydraDX,HDX,HydraDX network
ICON,ICX,ICON
IDEX,IDEX,Ethereum (ERC-20)
iExec,RLC,Ethereum (ERC-20)
Immutable X,IMX,Ethereum (ERC-20)
Initia,INIT,Initia network
Injective Protocol,INJ,Injective network
Integritee,TEER,Integritee (Kusama)
Interlay,INTR,Interlay (Polkadot)
Internet Computer,ICP,Internet Computer Protocol
Jasmy,JASMY,Ethereum (ERC-20)
Jeo Boden,BODEN,Solana
Jito,JTO,Solana
JUNO,JUNO,Juno network
Jupiter,JUP,Solana
Just,JST,Tron (TRC-20)
Kamino,KMNO,Solana
Kaito,KAITO,Base
Karura,KAR,Karura (Kusama)
Kaspa,KAS,Kaspa
Kava,KAVA,Kava
KeeperDAO,ROOK,Ethereum (ERC-20)
Keep Network,KEEP,Ethereum (ERC-20)
Keep3r Network,KP3R,Ethereum (ERC-20)
Kernel,KERNEL,Ethereum (ERC-20)
KILT,KILT,KILT (Polkadot)
Kin,KIN,Solana
Kinto,K,Arbitrum
Kintsugi,KINT,Kintsugi (Kusama)
Kraken Wrapped Bitcoin,kBTC,"Ethereum (ERC-20), OP Mainnet"
Kusama,KSM,Kusama
Kujira ,KUJI,Kujira network
Kyber Network,KNC,Ethereum (ERC-20)
Layer3,L3,Ethereum (ERC-20)
LayerZero ,ZRO,Ethereum (ERC-20)
Lido DAO,LDO,Ethereum (ERC-20)
Liechtenstein Cryptoassets Exchange,LCX,Ethereum (ERC-20)
LimeWire Token ,LMWR,Ethereum (ERC-20)
Liquid Staked ETH,LSETH,Ethereum (ERC-20)
Liquity,LQTY,Ethereum (ERC-20)
Lisk,LSK,Ethereum (ERC-20)
Litecoin,LTC,Litecoin
Litentry,LIT,Substrate network
Livepeer,LPT,Ethereum (ERC-20)
LOCK IN,LOCKIN,Solana
Loopring,LRC,Ethereum (ERC-20)
Magic Eden,ME,Solana
Maker,MKR,Ethereum (ERC-20)
Mango,MNGO,Solana
Mantle ,MNT,Ethereum (ERC-20)
Mantra ,OM,Mantra network
Marinade SOL,MSOL,Solana
Marlin,POND,Ethereum (ERC-20)
Mask Network,MASK,Ethereum (ERC-20)
Melania Meme,MELANIA,Solana
Memecoin,MEME,Ethereum (ERC-20)
Merit Circle,MC,Ethereum (ERC-20)
Metis,METIS,Ethereum (ERC-20)
Michi,MICHI,Solana
Mina,MINA,Mina
Mind Network,FHE,Ethereum (ERC-20)
Mirror Protocol,MIR,Ethereum (ERC-20)
Mogcoin,MOG,Ethereum (ERC-20)
Monero,XMR,Monero
Moo Deng,MOODENG,Solana
Moonbeam,GLMR,Moonbeam (Polkadot)
Moonriver,MOVR,Moonriver (Kusama)
Moons,MOON,Arbitrum Nova network
Moonwell,WELL,Base
Morpho,MORPHO,Ethereum (ERC-20)
Movement,MOVE,Ethereum (ERC-20)
Mubarak,MUBAR,BNB Chain
Multichain,MULTI,Ethereum (ERC-20)
MultiversX,EGLD,MultiversX network
MXC,MXC,Ethereum (ERC-20)
My Neighbor Alice,ALICE,Ethereum (ERC-20)
Nano,NANO,Nano
Near Protocol,NEAR,Near network
Neiro,NEIRO,Ethereum(ERC-20)
Neutron,NTRN,Neutron network
Nillion,NIL,Nillion network
Nodle,NODL,Nodle (Polkadot)
Nosana,NOS,Solana
Notcoin,NOT,The Open Network (TON)
Numeraire,NMR,Ethereum (ERC-20)
Nym,NYM,NYM network
Ocean*****,OCEAN,Ethereum (ERC-20)
Odos,ODOS,Base
Official Trump,TRUMP,Solana
OMG Network,OMG,Ethereum (ERC-20)
Omni,OMNI,Ethereum (ERC-20)
Ondo,ONDO,Ethereum (ERC-20)
Onyxcoin,XCN,Ethereum (ERC-20)
Optimism,OP,OP Mainnet
Orca,ORCA,Solana
Orchid,OXT,Ethereum (ERC-20)
Orderly Network,ORDER,Ethereum (ERC-20)
Origin Protocol,OGN,Ethereum (ERC-20)
OriginTrail,TRAC,Ethereum (ERC-20)
OriginTrail***,OTP,OriginTrail network (Polkadot)
Osmosis,OSMO,Osmosis Network
Oxygen,OXY,Solana
PancakeSwap,CAKE,BNB Chain
Parcl,PRCL,Solana
PAX Gold,PAXG,Ethereum (ERC-20)
PayPal USD,PYUSD,"Ethereum (ERC-20), Solana"
Peanut the squirrel,PNUT,Solana
Pendle,PENDLE,Ethereum (ERC-20)
Pepe ,PEPE,Ethereum (ERC-20)
Perpetual Protocol,PERP,Ethereum (ERC-20)
Phala,PHA,Khala (Kusama)
Picasso***,PICA,Picasso network (Kusama)
PlayDapp****,PLA,Ethereum (ERC-20)
Plume,PLUME,Ethereum (ERC-20)
Polkadot,DOT,Polkadot
Polkastarter,POLS,Ethereum (ERC-20)
Polygon,MATIC,Ethereum (ERC-20)
Polygon Ecosystem Token,POL,"Ethereum (ERC-20), Polygon network"
Ponke,PONKE,Solana
Popcat,POPCAT,Solana
Portal,PORTAL,Ethereum (ERC-20)
Powerledger,POWR,Ethereum (ERC-20)
Prompt,PROMPT,Ethereum (ERC-20)
Pstake,PSTAKE,Ethereum (ERC-20)
Pudgy Penguins,PENGU,Solana
Puffer Finance,PUFFER,Ethereum (ERC-20)
Pyth Network,PYTH,Solana
Qtum,QTUM,Qtum
Quant,QNT,Ethereum (ERC-20)
Radicle,RAD,Ethereum (ERC-20)
Rarible,RARI,Ethereum (ERC-20)
Raydium,RAY,Solana
RedStone,RED,Ethereum (ERC-20)
REN Protocol,REN,Ethereum (ERC-20)
Render,RENDER,Solana network
Renzo,REZ,Ethereum (ERC-20)
Request,REQ,Ethereum (ERC-20)
Reserve Rights,RSR,Ethereum (ERC-20)
Ripple,XRP,Ripple network
Ripple USD,RLUSD,Ethereum (ERC-20)
Robonomics,XRT,Robonomics (Kusama)
Rocket Pool,RPL,Ethereum (ERC-20)
Rubic,RBC,Ethereum (ERC-20)
Saber,SBR,Solana
Safe,SAFE,Ethereum (ERC-20)
Saga,SAGA,Saga network
Sanctum,CLOUD,Solana
Samoyed Coin,SAMO,Solana
Schuman EUROP,EUROP,Ethereum (ERC-20)
Secret,SCRT,Secret network
Sei,SEI,Sei network
SelfKey,KEY,Ethereum (ERC-20)
Serum,SRM,Solana
Shiba Inu,SHIB,Ethereum (ERC-20)
Shiden,SDN,Shiden (Kusama)
Siacoin,SC,Siacoin
Sigma,SIGMA,Solana
Sky,SKY,Ethereum (ERC-20)
Snek,SNEK,Cardano
Solana,SOL,Solana
Solayer,LAYER,Solana
Sonic SVM,SONIC,Solana
Songbird,SGB,Songbird
Spell Token,SPELL,Ethereum (ERC-20)
Spice,SPICE,Solana
SPX6900,SPX,Ethereum (ERC-20)
SSV Network,SSV,Ethereum (ERC-20)
Stablr Euro ,EURR,Ethereum (ERC-20)
Stablr USD ,USDR,Ethereum (ERC-20)
Stacks,STX,Stacks network
Stafi Protocol,FIS,Ethereum (ERC-20)
Star Atlas,ATLAS,Solana
Star Atlas DAO,POLIS,Solana
Starknet Token,STRK,Starknet network
Stargate Finance,STG,Ethereum (ERC-20)
Stella,ALPHA,Ethereum (ERC-20)
Stellar Lumens,XLM,Lumen network
Step Finance,STEP,Solana
STEPN,GMT,Solana
Stool Prisondente,JAILSTOOL,Solana
Storj,STORJ,Ethereum (ERC-20)
Story,IP,Story network
Stride,STRD,Stride network
Sui ,SUI,Sui network
Sun ,SUN,Tron (TRC-20)
Sundog,SUNDOG,Tron (TRC-20)
SuperVerse,SUPER,Ethereum (ERC-20)
SuperRare,RARE,Ethereum (ERC-20)
Sushi,SUSHI,Ethereum (ERC-20)
Swarms,SWARMS,Solana
Swell Network,SWELL,Ethereum (ERC-20)
Swipe***,SXP,Ethereum (ERC-20)
Synapse,SYN,Ethereum (ERC-20)
Synthetix,SNX,Ethereum (ERC-20)
Syrup,SYRUP,Ethereum (ERC-20)
tBTC**,TBTC,Ethereum (ERC-20)
Tensor,TNSR,Solana
Term Finance,TERM,Ethereum (ERC-20)
Terra 2.0,LUNA2,Terra
Terra Classic,LUNA,Terra
TerraClassicUSD,USTC,Terra
Terra Virtua Kolect,TVK,Ethereum (ERC-20)
Tether*,USDT,"Arbitrum One network, Avalanche C-Chain, Ethereum (ERC-20), Ink, OP Mainnet, Polygon network, Solana network, The Open Network (TON), Tron (TRC-20)"
Tether EURt*,EURT,Ethereum (ERC-20)
Tezos,XTZ,Tezos
The Graph,GRT,Ethereum (ERC-20)
The Sandbox,SAND,Ethereum (ERC-20)
Thorchain,RUNE,Thorchain
Threshold,T,Ethereum (ERC-20)
Titcoin,TITCOIN,Solana
Tokemak,TOKE,Ethereum (ERC-20)
TokenFi,TOKEN,Ethereum (ERC-20)
Toncoin,TON,Toncoin network
Toshi,TOSHI,Base
Tron,TRX,Tron (TRC-20)
TrueFi,TRU,Ethereum (ERC-20)
TrueUSD*,TUSD,Tron (TRC-20)
Turbo,TURBO,Ethereum (ERC-20)
Unicorn Fart Dust,UFD,Solana
Unifi Protocol DAO,UNFI,Ethereum (ERC-20)
Uniswap,UNI,Ethereum (ERC-20)
Universal Market Access,UMA,Ethereum (ERC-20)
USD Coin*,USDC,"Arbitrum One, Avalanche C-Chain, Base, Ethereum (ERC-20), OP Mainnet, Polygon network, Solana, Sui, Tron (TRC-20),"
USDD,USDD,Tron (TRC-20)
USDS,USDS,Ethereum (ERC-20)
USDQ,USDQ,Ethereum (ERC-20)
Usual,USUAL,Ethereum (ERC-20)
Vanar Chain,VANRY,Ethereum (ERC-20)
Velodrome Finance,VELODROME,OP Mainnet
Venice Token,VVV,Base
Vine,VINE,Solana
Virtuals Protocol,VIRTUAL,Solana
WalletConnet Token,WCT,OP mainnet
Walrus,WAL,Sui network
Wenwencoin,WEN,Solana
WINkLink,WIN,Tron network
Worldcoin,WLD,OP Mainnet
Wormhole,W,Solana
Woo Network,WOO,Ethereum (ERC-20)
Wrapped Bitcoin**,WBTC,Ethereum (ERC-20)
Wrapped Ether***,WETH,Ethereum (ERC-20)
Wrapped Axelar,WAXL,Ethereum (ERC-20)
Yearn Finance,YFI,Ethereum (ERC-20)
Yield Guild Games,YGG,Ethereum (ERC-20)
Zcash,ZEC,Zcash
Zerebro,ZEREBRO,Solana
Zetachain,ZETA,Ethereum (ERC-20)
Zeus Network,ZEUS,Solana
Zeta Markets,ZEX,Solana
Zora,ZORA,Base
